,year,bcc-csm1-1,CCSM4,CSIRO-Mk3L,FGOALS-gl,GISS-E2-R,HadCM3,IPSL-CM5A-LR,MIROC-ES2L,MPI-ESM-P,MRI-CGCM3,MRI-ESM2-0,CESM1-LME,CESM2,MPI-ESM1-2-LR,EC-Earth3-Veg-LR,MIROC-ESM,INM-CM4-8
932,1782,286.6083464,284.6196943,287.1333676,286.9549922,287.3978048,286.1969784,284.9821761,288.293,286.624084,286.7593446,287.4631008,286.0972732,284.8385004,286.2727322,287.2004769,287.8499861,286.2397156
933,1783,286.6390922,284.6341497,287.1252421,286.7797291,287.503007,286.3963478,284.9236475,288.21817,286.5255248,286.4714764,287.1454596,286.1272362,284.4941334,286.3004092,286.9995322,287.5019783,285.3875732
934,1784,286.5960109,284.5716813,287.1013674,286.9344858,287.3914367,286.4477774,284.8841092,288.1023,286.5967646,286.4528106,287.0328207,286.240423,284.7131385,286.303217,286.6436961,287.7232988,285.7533264
935,1785,286.6567814,284.406708,287.1124051,286.7098302,287.3526789,286.391437,284.7943186,288.0974,286.6470929,286.6846281,287.1711982,286.4645744,284.7779082,286.2616425,286.6565602,287.7887533,285.9508057
936,1786,286.6817952,284.4855615,287.2117465,286.790775,287.4106691,286.2911657,284.8213139,288.2349,286.642605,286.6568768,287.3921091,286.1546991,284.5195518,286.498392,286.8227204,287.5276654,286.0531006
937,1787,286.60322,284.5465541,287.1732632,286.8088059,287.357955,286.3451437,284.9518413,288.134,286.5382514,286.6467649,287.5193169,286.1642917,284.7481428,286.5751171,286.8665549,287.7586733,286.2017517
938,1788,286.5663078,284.5018974,287.1027322,286.7597935,287.3132198,286.4579031,284.7975963,288.0844,286.5932284,286.7157827,287.4193464,286.25655,284.8195101,286.6071888,287.0740091,287.8307951,286.3187866
939,1789,286.6814311,284.6534608,287.1596384,286.7148393,287.3190636,286.5888524,284.8848166,287.976,286.5887672,286.5368927,287.5126372,286.5437865,284.5042687,286.6820907,287.1265993,287.5122207,286.3551331
940,1790,286.7159384,284.568307,287.1059722,286.8030744,287.3419238,286.533693,284.9304725,288.06665,286.5471984,286.7270274,287.278397,286.1895702,284.7658282,286.5455104,287.1130696,287.7765457,286.1771851
941,1791,286.5892567,284.6319329,287.0769178,286.7428358,287.4798133,286.7615996,284.7721247,288.24023,286.7384902,286.6218141,287.3904998,286.0784134,285.0127067,286.3229954,287.2445808,288.0260343,286.2877808
942,1792,286.6871158,284.6588973,287.03522,286.6990036,287.3628864,286.5164085,284.732564,288.27567,286.7403362,286.667299,287.3763985,286.1710838,284.9008248,286.3302463,287.1210134,287.9129695,286.3370056
943,1793,286.5943884,284.5632191,287.0736245,286.7285081,287.5178205,286.4540533,284.8533742,288.2572,286.6128563,286.6399441,287.4105014,286.428089,284.8264547,286.2215274,287.3634848,287.8378131,286.3607178
